时间,耗时(秒),失败次数
2026-05-07 00:32:14,22.2,1
2026-05-07 00:33:13,9.3,0
2026-05-07 00:33:52,48.9,1
2026-05-07 00:34:35,8.9,0
2026-05-07 00:38:48,10.0,0
2026-05-07 00:39:07,7.4,0
2026-05-07 00:39:17,3.2,0
2026-05-07 00:39:47,12.0,0
2026-05-07 00:48:44,2.7,0
2026-05-07 00:49:30,12.9,0
2026-05-07 00:50:38,30.7,0
2026-05-07 00:51:03,13.1,0
2026-05-07 00:52:12,10.5,0
2026-05-07 00:52:52,12.7,0
2026-05-07 01:12:30,6.2,0
2026-05-16 00:31:53,13.0,0
2026-05-16 00:42:07,7.4,0
2026-05-16 00:43:52,5.7,0
